Frequency,Channel A,Channel C
(ms),(V),(mV)

-221.62913796,-0.71975340,-13.18520000
-221.52913797,-0.72085210,-12.37639000
-221.42913797,-0.71975340,-12.91051000
-221.32913797,-0.71975340,-12.91051000
-221.22913797,-0.72085210,-12.37639000
-221.12913798,-0.71975340,-12.10170000
-221.02913798,-0.71755580,-12.10170000
-220.92913798,-0.71755580,-12.37639000
-220.82913798,-0.71865460,-11.56757000
-220.72913799,-0.71645710,-12.37639000
-220.62913799,-0.71755580,-11.84227000
-220.52913799,-0.71535830,-11.84227000
-220.42913799,-0.71535830,-11.84227000
-220.32913800,-0.71535830,-11.30814000
-220.22913800,-0.71535830,-11.56757000
-220.12913800,-0.71316080,-11.56757000
-220.02913800,-0.71425960,-11.56757000
-219.92913801,-0.71316080,-11.56757000
-219.82913801,-0.71316080,-11.03345000
-219.72913801,-0.71316080,-11.03345000
-219.62913801,-0.70986450,-10.75876000
-219.52913802,-0.70986450,-10.49933000
-219.42913802,-0.70766690,-10.75876000
-219.32913802,-0.70876570,-10.75876000
-219.22913802,-0.70766690,-10.75876000
-219.12913803,-0.70656820,-11.30814000
-219.02913803,-0.70656820,-11.30814000
-218.92913803,-0.70546940,-10.49933000
-218.82913803,-0.70437060,-10.49933000
-218.72913804,-0.70327190,-10.22464000
-218.62913804,-0.69997560,-10.22464000
-218.52913804,-0.69997560,-11.03345000
-218.42913804,-0.69997560,-10.22464000
-218.32913805,-0.69881580,-10.22464000
-218.22913805,-0.69771700,-10.22464000
-218.12913805,-0.69551940,-10.49933000
-218.02913805,-0.69442070,-10.22464000
-217.92913806,-0.69332190,-10.49933000
-217.82913806,-0.69222320,-10.49933000
-217.72913806,-0.68892690,-9.69051400
-217.62913806,-0.69002560,-9.94994400
-217.52913807,-0.68782810,-9.94994400
-217.42913807,-0.68563060,-10.49933000
-217.32913807,-0.68453180,-9.41582100
-217.22913807,-0.68343310,-9.69051400
-217.12913808,-0.68013670,-9.94994400
-217.02913808,-0.68013670,-10.49933000
-216.92913808,-0.67793920,-9.41582100
-216.82913809,-0.67464290,-9.94994400
-216.72913809,-0.67464290,-9.69051400
-216.62913809,-0.67244540,-9.94994400
-216.52913809,-0.67024780,-9.41582100
-216.42913810,-0.66914900,-9.41582100
-216.32913810,-0.66805030,-9.15639000
-216.22913810,-0.66475400,-9.41582100
-216.12913810,-0.66365520,-9.41582100
-216.02913811,-0.66255650,-9.94994400
-215.92913811,-0.66029790,-9.41582100
-215.82913811,-0.65810040,-9.15639000
-215.72913811,-0.65590280,-8.88169900
-215.62913812,-0.65590280,-9.15639000
-215.52913812,-0.65260650,-8.88169900
-215.42913812,-0.64821140,-9.41582100
-215.32913812,-0.64711270,-8.88169900
-215.22913813,-0.64491520,-8.60700700
-215.12913813,-0.64161880,-9.41582100
-215.02913813,-0.63832250,-9.15639000
-214.92913813,-0.63942130,-8.88169900
-214.82913814,-0.63392750,-8.88169900
-214.72913814,-0.63282870,-8.07288500
-214.62913814,-0.63173000,-8.60700700
-214.52913814,-0.62733490,-8.60700700
-214.42913815,-0.62623610,-8.60700700
-214.32913815,-0.62293980,-8.34757600
-214.22913815,-0.62068120,-8.34757600
-214.12913815,-0.61738490,-8.60700700
-214.02913816,-0.61628620,-8.34757600
-213.92913816,-0.61189110,-8.60700700
-213.82913816,-0.60969350,-8.07288500
-213.72913816,-0.60859480,-8.88169900
-213.62913817,-0.60529850,-8.07288500
-213.52913817,-0.60090340,-8.07288500
-213.42913817,-0.59760710,-8.07288500
-213.32913817,-0.59431080,-8.07288500
-213.22913818,-0.59431080,-7.26407000
-213.12913818,-0.58991580,-8.07288500
-213.02913818,-0.58661940,-7.26407000
-212.92913818,-0.58332310,-7.53876200
-212.82913819,-0.58216330,-7.79819300
-212.72913819,-0.57776830,-8.07288500
-212.62913819,-0.57447200,-7.79819300
-212.52913819,-0.57227440,-7.53876200
-212.42913820,-0.56897810,-7.79819300
-212.32913820,-0.56458310,-7.26407000
-212.22913820,-0.56348430,-7.53876200
-212.12913820,-0.55908920,-7.79819300
-212.02913821,-0.55799050,-6.72994700
-211.92913821,-0.55359540,-7.26407000
-211.82913821,-0.54810150,-7.53876200
-211.72913821,-0.54700280,-7.26407000
-211.62913822,-0.54254670,-7.53876200
-211.52913822,-0.53925040,-7.00463900
-211.42913822,-0.53485530,-7.79819300
-211.32913822,-0.53265780,-7.79819300
-211.22913823,-0.52826270,-7.00463900
-211.12913823,-0.52386770,-7.00463900
-211.02913823,-0.51947260,-7.00463900
-210.92913823,-0.51727500,-7.00463900
-210.82913824,-0.51397870,-7.00463900
-210.72913824,-0.50958370,-7.26407000
-210.62913824,-0.50738610,-7.26407000
-210.52913824,-0.50293000,-6.45525600
-210.42913825,-0.49963370,-7.26407000
-210.32913825,-0.49633740,-6.72994700
-210.22913825,-0.49304110,-7.00463900
-210.12913825,-0.48974480,-7.00463900
-210.02913826,-0.48425100,-6.72994700
-209.92913826,-0.48095470,-6.45525600
-209.82913826,-0.47875720,-6.45525600
-209.72913826,-0.47216460,-6.72994700
